COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
Formylmethanofuran dehydrogenase subunit A (FwdA) (PDB:5T5I)	0	1	1	NA	COG1229	GC_00000707	1	1	61	26
Preprotein translocase subunit SecY (SecY) (PDB:1RH5)	0	1	1	NA	COG0201	GC_00000647	1	1	61	26
"Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)"	0	1	1	NA	COG0534	"GC_00000005, GC_00000211, GC_00001230, GC_00001390, GC_00002435, GC_00002666, GC_00003901"	1	1	61	26
Ribosomal protein L24 (RplX) (PDB:1VS6)	0	1	1	NA	COG0198	GC_00000302	1	1	61	26
Transcription factor homologous to NACalpha-BTF3 (EGD2) (PDB:1TR8)	0	1	1	NA	COG1308	GC_00000590	1	1	61	26
2-phosphoglycerate kinase/Mevalonate-3-phosphate 5-kinase (Pgk2)	0	1	1	NA	COG2074	GC_00000649	1	1	61	26
Energy-converting hydrogenase Eha subunit D (EhaD) (PUBMED:19495416)	0	1	1	NA	COG4039	GC_00000500	1	1	61	26
"Predicted RNA-binding protein, contains C-terminal EMAP domain (PDB:2E8G) (PUBMED:17114934)"	0	1	1	NA	COG2517	GC_00000711	1	1	61	26
"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)"	0	1	1	NA	COG1670	GC_00000160	1	1	61	26
Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH (HisH) (PDB:1OX4)	0	1	1	NA	COG0118	GC_00000918	1	1	61	26
"DNA topoisomerase VI, subunit A (Spo11) (PDB:1D3Y)"	0	1	1	NA	COG1697	GC_00000330	1	1	61	26
"Predicted metal-dependent hydrolase, TIM-barrel fold (PDB:3GUW)"	0	1	1	NA	COG1099	GC_00000840	1	1	61	26
NCAIR mutase (PurE)-related protein	0	1	1	NA	COG1691	GC_00001004	1	1	61	26
Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	0	1	1	NA	COG0010	GC_00001326	1	1	61	26
"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)!!!Predicted transcriptional regulator, contains C-terminal CBS domains"	0	1	1	NA	COG1475!!!COG2524	GC_00000475	1	1	61	26
Ribosomal protein L18 (RplR) (PDB:1VS6)	0	1	1	NA	COG0256	GC_00000630	1	1	61	26
"GTP-binding protein, GTP1/Obg family (Nog1) (PDB:2E87)"	0	1	1	NA	COG1084	GC_00000706	1	1	61	26
"tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Cgi121 subunit (Cgi121) (PDB:1ZD0) (PUBMED:23258706)"	0	1	1	NA	COG1617	GC_00001091	1	1	61	26
Predicted transcriptional regulator	0	1	1	NA	COG1395	GC_00000617	1	1	61	26
Archaeal/vacuolar-type H+-ATPase subunit B/Vma2 (NtpB) (PDB:3GQB)	0	1	1	NA	COG1156	GC_00000274	1	1	61	26
"RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase) (ThpR) (PDB:1IUH) (PUBMED:25239919)"	0	1	1	NA	COG1514	GC_00001059	1	1	61	26
tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC (MnmC) (PDB:3AWI)	0	1	1	NA	COG4121	GC_00001160	1	1	61	26
"Multisubunit Na+/H+ antiporter, MnhG subunit (MnhG) (PDB:6CFW)"	0	1	1	NA	COG1320	GC_00000631	1	1	61	26
Ribosomal protein S10 (RpsJ) (PDB:4V4H)	0	1	1	NA	COG0051	GC_00000228	1	1	61	26
"Methanofuran synthetase MfnF, hydantoinase/oxoprolinase family (MfnF) (PDB:3C0B) (PUBMED:26100040)"	0	1	1	NA	COG1548	GC_00000194	1	1	61	26
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	0	1	1	NA	COG0030	"GC_00001077, GC_00003878"	1	1	61	26
"3-Methyladenine DNA glycosylase, HhH-GPD/Endo3 superfamily (HP0602) (PDB:1PU6) (PUBMED:14517230;20410075)"	0	1	1	NA	COG2231	GC_00001053	1	1	61	26
Triosephosphate isomerase (TpiA) (PDB:1HG3)	0	1	1	NA	COG0149	GC_00000141	1	1	61	26
CBS domain (CBS) (PDB:1B3O)	0	1	1	NA	COG0517	"GC_00000481, GC_00000846"	1	1	61	26
Phosphopantetheine adenylyltransferase (CAB4) (PDB:3DO8)	0	1	1	NA	COG1019	GC_00000526	1	1	61	26
Uncharacterized spore protein YtfJ (YtfJ)	0	1	1	NA	COG3874	GC_00000688	1	1	61	26
Exonuclease VII small subunit (XseB) (PDB:1VP7)	0	1	1	NA	COG1722	GC_00000320	1	1	61	26
Adenine deaminase (AdeC) (PDB:3NQB)	0	1	1	NA	COG1001	GC_00001329	1	1	61	26
"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)"	0	1	1	NA	COG1304	GC_00000803	1	1	61	26
Carbamoyl dehydratase HypE (hydrogenase maturation factor) (HypE) (PDB:2I6R) (PUBMED:28618091)	0	1	1	NA	COG0309	GC_00000412	1	1	61	26
mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N)	0	1	1	NA	COG0595	GC_00000553	1	1	61	26
"GMP synthase, PP-ATPase domain/subunit (GuaA2) (PDB:4WIM)"	0	1	1	NA	COG0519	GC_00000555	1	1	61	26
Ribosomal protein S4E (RPS4A)	0	1	1	NA	COG1471	GC_00000535	1	1	61	26
"ABC-type phosphate transport system, ATPase component (PstB)"	0	1	1	NA	COG1117	GC_00000487	1	1	61	26
"ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)"	0	1	1	NA	COG1126	GC_00000953	1	1	61	26
Hydrogenase maturation factor HypF (carbamoyltransferase) (HypF) (PDB:3TSP)	0	1	1	NA	COG0068	GC_00001317	1	1	61	26
Ribosomal protein S3 (RpsC) (PDB:1VS6)	0	1	1	NA	COG0092	GC_00000331	1	1	61	26
5-(aminomethyl)-3-furanmethanol-phosphate kinase MfnE (methanofuran biosynthesis) (MfnE) (PUBMED:26100040)	0	1	1	NA	COG2054	GC_00000799	1	1	61	26
Flavodoxin (FldA) (PDB:1AG9)!!!Ferredoxin (NapF) (PDB:6FAH)	0	1	1	NA	COG0716!!!COG1145	GC_00001143	1	1	61	26
"Uncharacterized membrane protein YhgE, phage infection protein (PIP) family (YhgE)"	0	1	1	NA	COG1511	"GC_00001163, GC_00002500"	1	1	61	26
Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	0	1	1	NA	COG0151	GC_00001067	1	1	61	26
"Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain (GatE) (PDB:2D6F)"	0	1	1	NA	COG2511	GC_00001128	1	1	61	26
"Heterodisulfide reductase, subunit C (HdrC) (PDB:5ODC)"	0	1	1	NA	COG1150	"GC_00000763, GC_00000933"	1	1	61	26
Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG)	0	1	1	NA	COG3153	"GC_00001402, GC_00001544, GC_00004102"	1	1	61	26
Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)	0	1	1	NA	COG0343	GC_00001275	1	1	61	26
"Exosome subunit, RNA binding protein with dsRBD fold (PDB:2NRQ)"	0	1	1	NA	COG1325	GC_00000454	1	1	61	26
"Predicted redox protein with CxxCxxC motif, DUF116 family (PUBMED:25583072)"	0	1	1	NA	COG1852	"GC_00000623, GC_00001359"	1	1	61	26
ERCC4-related helicase (MPH1) (PDB:1WP9)!!!ERCC4-type crossover junction endonuclease (MUS81) (PDB:1J22)	0	1	1	NA	COG1111!!!COG1948	GC_00000639	1	1	61	26
Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7)	0	1	1	NA	COG0503	GC_00000751	1	1	61	26
"Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain (AgaS) (PDB:3C3J) (PUBMED:16153181)"	0	1	1	NA	COG2222	GC_00001367	1	1	61	26
"Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)"	0	1	1	NA	COG4783	GC_00000202	1	1	61	26
DNA-binding transcriptional regulator ModE (molybdenum-dependent) (ModE) (PDB:1B9M) (PUBMED:19779461)!!!Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)	0	1	1	NA	COG2005!!!COG3585	GC_00000865	1	1	61	26
UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK)	0	1	1	NA	COG0770	GC_00001135	1	1	61	26
"Arsenite efflux pump ArsB, ACR3 family (ACR3)"	0	1	1	NA	COG0798	GC_00000057	1	1	61	26
RNase P/RNase MRP subunit p30 (RPP1) (PDB:1V77)	0	1	1	NA	COG1603	GC_00000190	1	1	61	26
Prolyl-tRNA synthetase (ProS) (PDB:5XIF)	0	1	1	NA	COG0442	GC_00000757	1	1	61	26
Predicted flavoprotein YhiN (YhiN) (PDB:3V76)	0	1	1	NA	COG2081	GC_00001192	1	1	61	26
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G)	0	1	1	NA	COG0115	GC_00000135	1	1	61	26
Formate hydrogenlyase subunit HyfC (HyfC) (PDB:6CFW)	0	1	1	NA	COG0650	"GC_00000769, GC_00001199, GC_00003400"	1	1	61	26
"Uncharacterized pentameric protein YbjQ, UPF0145 family (YbjQ) (PDB:1VR4) (PUBMED:23935051)"	0	1	1	NA	COG0393	"GC_00000290, GC_00000492, GC_00000660"	1	1	61	26
"Uncharacterized membrane protein, DUF368 family"	0	1	1	NA	COG2035	GC_00000855	1	1	61	26
Ribosomal protein S17 (RpsQ) (PDB:4V4H)	0	1	1	NA	COG0186	GC_00000215	1	1	61	26
Orotidine-5'-phosphate decarboxylase (PyrF) (PDB:1DBT)	0	1	1	NA	COG0284	GC_00001250	1	1	61	26
"ABC-type Co2+ transport system, permease component (CbiM) (PDB:4M58) (PUBMED:25313401)"	0	1	1	NA	COG0310	"GC_00000157, GC_00000573, GC_00001467"	1	1	61	26
Phosphoribosylpyrophosphate synthetase (PrsA) (PDB:1DKR)	0	1	1	NA	COG0462	GC_00000566	1	1	61	26
Ribonuclease PH (Rph) (PDB:1UDO)	0	1	1	NA	COG0689	GC_00000935	1	1	61	26
NAD(P)H-flavin reductase (Mcr1) (PDB:3A1F)	0	1	1	NA	COG0543	"GC_00000851, GC_00003967"	1	1	61	26
Fe2+ transport protein FeoA (FeoA) (PDB:2GCX)	0	1	1	NA	COG1918	GC_00000222	1	1	61	26
"Predicted membrane flippase AglD2/YbhN, UPF0104 family (AglD2) (PUBMED:25583072)"	0	1	1	NA	COG0392	GC_00000924	1	1	61	26
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)	0	1	1	NA	COG4992	"GC_00001039, GC_00003606"	1	1	61	26
Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	0	1	1	NA	COG0458	"GC_00000829, GC_00000880"	1	1	61	26
GyrI-like small molecule binding domain (BltR2) (PDB:1BOW)	0	1	1	NA	COG4978	GC_00000728	1	1	61	26
H+/Cl- antiporter ClcA (ClcA) (PDB:1KPK)	0	1	1	NA	COG0038	GC_00001282	1	1	61	26
23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI (RlmK) (PDB:2B78)	0	1	1	NA	COG1092	GC_00001235	1	1	61	26
"Fe-S-cluster-containing hydrogenase component 2 (HycB)!!!Ferredoxin (NapF) (PDB:6FAH)!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)"	0	1	1	NA	COG1142!!!COG1145!!!COG4231	GC_00001078	1	1	61	26
Ribosomal protein L44E (RPL42A)	0	1	1	NA	COG1631	GC_00000225	1	1	61	26
Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain) (CysG2) (PDB:1PJQ)	0	1	1	NA	COG1648	GC_00001043	1	1	61	26
Hydrogenase maturation factor HypE (HypE2)	0	1	1	NA	COG1973	GC_00000665	1	1	61	26
Chorismate mutase (PheA) (PDB:1ECM)	0	1	1	NA	COG1605	GC_00000333	1	1	61	26
Archaeal histone H3/H4 (HHT1) (PDB:6GEJ)	0	1	1	NA	COG2036	"GC_00000002, GC_00002278"	1	1	61	26
5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)	0	1	1	NA	COG0258	GC_00001174	1	1	61	26
Organic radical activating enzyme NrdG/QueE (QueE) (PUBMED:14660578;17384645)	0	1	1	NA	COG0602	GC_00000848	1	1	61	26
"NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit (PreA)"	0	1	1	NA	COG1146	"GC_00000277, GC_00000329"	1	1	61	26
Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	0	1	1	NA	COG0008	GC_00000098	1	1	61	26
"Uncharacterized conserved protein, DUF763 domain"	0	1	1	NA	COG1415	GC_00000200	1	1	61	26
Geranylgeranyl pyrophosphate synthase (IspA) (PDB:2AZJ)	0	1	1	NA	COG0142	GC_00001177	1	1	61	26
"Zn/Ni/Co-binding GTPase YjiA, predicted metallochaperone, CobW/Nha3/YciC family (YjiA) (PUBMED:24449932)"	0	1	1	NA	COG2403	GC_00000148	1	1	61	26
Predicted nucleotidyltransferase AF1967 (AF1967)	0	1	1	NA	COG1665	GC_00001212	1	1	61	26
"ssDNA-binding replication factor A, large subunit (RFA1) (PDB:4GNX)"	0	1	1	NA	COG1599	GC_00001384	1	1	61	26
"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)"	0	1	1	NA	COG0438!!!COG1216	"GC_00000637, GC_00001343, GC_00001395"	1	1	61	26
CTP synthase (UTP-ammonia lyase) (PyrG) (PDB:1S1M)	0	1	1	NA	COG0504	GC_00001131	1	1	61	26
Thymidylate kinase (Tmk) (PDB:3LV8)	0	1	1	NA	COG0125	"GC_00000084, GC_00001119"	1	1	61	26
Uncharacterized MnhB-related membrane protein (PDB:6CFW)	0	1	1	NA	COG1563	GC_00000257	1	1	61	26
Hydroxymethylglutaryl-CoA reductase (HMG1) (PDB:1DQ8)	0	1	1	NA	COG1257	GC_00001266	1	1	61	26
"Methyl coenzyme M reductase, alpha subunit (McorA) (PDB:1E6V)"	0	1	1	NA	COG4058	GC_00000094	1	1	61	26
"Glycyl-tRNA synthetase, class II (GRS1) (PDB:2PME)"	0	1	1	NA	COG0423	GC_00001195	1	1	61	26
Polyphosphate kinase (Ppk) (PDB:1XDO)	0	1	1	NA	COG0855	GC_00000207	1	1	61	26
"Archaeosine formation enzyme, radical SAM superfamily (RaSEA) (PDB:6P78) (PUBMED:31740832)"	0	1	1	NA	COG1244	GC_00001371	1	1	61	26
Ribosomal protein L3 (RplC) (PDB:1VS6)	0	1	1	NA	COG0087	GC_00000439	1	1	61	26
"Predicted RNA methylase MTH1, SPOUT superfamily (MTH1) (PDB:1K3R)"	0	1	1	NA	COG2106	GC_00000635	1	1	61	26
3-polyprenyl-4-hydroxybenzoate decarboxylase (UbiD) (PDB:2IDB) (PUBMED:28057757)	0	1	1	NA	COG0043	"GC_00001168, GC_00004095"	1	1	61	26
Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM)	0	1	1	NA	COG0136	GC_00000579	1	1	61	26
TctA family transporter (PUBMED:14499931)	0	1	1	NA	COG1784	GC_00000197	1	1	61	26
Histidinol phosphatase or related hydrolase of the PHP family (HIS2) (PDB:1M65)	0	1	1	NA	COG1387	GC_00000490	1	1	61	26
Peptide chain release factor 1 (eRF1) (eRF1) (PDB:3E1Y)	0	1	1	NA	COG1503	GC_00000970	1	1	61	26
"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)"	0	1	1	NA	COG1053	GC_00001054	1	1	61	26
Methylase of polypeptide chain release factors (HemK) (PDB:1NV8)	0	1	1	NA	COG2890	GC_00000557	1	1	61	26
"Predicted small methyltransferase MTH1000, UPF0146 family (MTH1000) (PDB:2K4M)"	0	1	1	NA	COG1255	GC_00000560	1	1	61	26
"Methyl coenzyme M reductase, gamma subunit (McorG) (PDB:5N1Q)"	0	1	1	NA	COG4057	GC_00000097	1	1	61	26
Ribosomal protein S12 (RpsL) (PDB:4V4H)	0	1	1	NA	COG0048	GC_00000217	1	1	61	26
Ribosomal protein L18E (RPL18A)	0	1	1	NA	COG1727	GC_00000242	1	1	61	26
Predicted PurR-regulated permease PerM (PerM)	0	1	1	NA	COG0628	GC_00000995	1	1	61	26
Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)	0	1	1	NA	COG0150	GC_00001134	1	1	61	26
"Uncharacterized membrane protein YvlD, DUF360 family (YvlD)"	0	1	1	NA	COG1950	GC_00001295	1	1	61	26
Predicted deacylase (PDB:3CDX)	0	1	1	NA	COG3608	"GC_00000185, GC_00001733"	1	1	61	26
"DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)!!!Predicted hydrocarbon binding protein, contains 4VR domain (PDB:2OSD)"	0	1	1	NA	COG0640!!!COG1719	GC_00000747	1	1	61	26
Proteasome assembly chaperone (PAC2) family protein (PDB:3VR0)	0	1	1	NA	COG2047	GC_00000522	1	1	61	26
"DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)"	0	1	1	NA	COG1522	"GC_00000371, GC_00003530"	1	1	61	26
Serine acetyltransferase (CysE) (PDB:1T3D)	0	1	1	NA	COG1045	GC_00000450	1	1	61	26
"DNA-directed RNA polymerase, alpha subunit/40 kD subunit (RpoA) (PDB:4KN7)"	0	1	1	NA	COG0202	GC_00000814	1	1	61	26
Ribonuclease HII (RnhB) (PDB:1EKE)	0	1	1	NA	COG0164	GC_00000608	1	1	61	26
CBS domain (CBS) (PDB:1B3O)!!!Homoserine O-acetyltransferase (MET2) (PDB:2VAT)	0	1	1	NA	COG0517!!!COG2021	GC_00001240	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit E (MtrE)"	0	1	1	NA	COG4059	GC_00000569	1	1	61	26
Putative Mn2+ efflux pump MntP (MntP)	0	1	1	NA	COG1971	GC_00000107	1	1	61	26
"Phosphosulfolactate synthase, CoM biosynthesis protein A (ComA) (PDB:1QWG)"	0	1	1	NA	COG1809	GC_00000760	1	1	61	26
"Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat (PQQ) (PDB:6TJG)"	0	1	1	NA	COG1520	GC_00001319	1	1	61	26
Cytidylyltransferase family enzyme (PUBMED:25583072)	0	1	1	NA	COG1836	GC_00000477	1	1	61	26
Co/Zn/Cd efflux system component (CzcD)	0	1	1	NA	COG1230	GC_00001083	1	1	61	26
rRNA maturation endonuclease Nob1 (Nob1) (PDB:2CON)	0	1	1	NA	COG1439	GC_00000775	1	1	61	26
"Predicted nucleic acid-binding protein, contains Zn-ribbon domain"	0	1	1	NA	COG4068	GC_00000467	1	1	61	26
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	0	1	1	NA	COG0574	"GC_00000199, GC_00001152"	1	1	61	26
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A) (Efp) (PDB:1UEB)	0	1	1	NA	COG0231	GC_00000239	1	1	61	26
Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)	0	1	1	NA	COG0644	"GC_00000140, GC_00003798"	1	1	61	26
"Uncharacterized conserved protein, contains ACT domain"	0	1	1	NA	COG2061	GC_00000724	1	1	61	26
Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4)	0	1	1	NA	COG0112	GC_00000452	1	1	61	26
Precorrin-2 methylase (CobF) (PDB:2QBU)	0	1	1	NA	COG2243	GC_00000726	1	1	61	26
"GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)"	0	1	1	NA	COG2896	GC_00001206	1	1	61	26
Phosphorylcholine metabolism protein LicD (LicD)	0	1	1	NA	COG3475	"GC_00000082, GC_00000891, GC_00001508, GC_00002451, GC_00002610, GC_00002759"	1	1	61	26
Na+/proline symporter (PutP) (PDB:5NVA)	0	1	1	NA	COG0591	GC_00000146	1	1	61	26
Predicted metal-binding protein	0	1	1	NA	COG5423	GC_00000666	1	1	61	26
"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family (PptA) (PDB:1BJP)"	0	1	1	NA	COG1942	GC_00000554	1	1	61	26
"Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain (GCD7) (PDB:1K81)"	0	1	1	NA	COG1601	GC_00000221	1	1	61	26
"ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)"	0	1	1	NA	COG1131	"GC_00000170, GC_00001000, GC_00001256, GC_00004045"	1	1	61	26
Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1 (NtpA) (PDB:3J9T)	0	1	1	NA	COG1155	GC_00000476	1	1	61	26
"Predicted methyltransferase MtxX, methanogen marker protein 4"	0	1	1	NA	COG4002	GC_00000875	1	1	61	26
"7,8-dihydroneopterin aldolase MptD (tetrahydrofolate and tetrahydromethanopterin biosynthesis) (MptD) (PDB:2I52) (PUBMED:22931285)"	0	1	1	NA	COG2098	GC_00000613	1	1	61	26
Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	0	1	1	NA	COG1917	GC_00000421	1	1	61	26
"Predicted metal-binding transcription factor, methanogenesis marker domain 9"	0	1	1	NA	COG4008	GC_00000363	1	1	61	26
"Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!UDP:flavonoid glycosyltransferase YjiC, YdhE family (YjiC) (PDB:2ACV) (PUBMED:23974133)"	0	1	1	NA	COG0463!!!COG1819	GC_00001391	1	1	61	26
"Uncharacterized conserved protein, DUF2149 domain"	0	1	1	NA	COG4744	"GC_00000129, GC_00001079"	1	1	61	26
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)	0	1	1	NA	COG0438	"GC_00000210, GC_00001418, GC_00003916"	1	1	61	26
"DNA-binding transcriptional regulator, FrmR family (FrmR) (PDB:2HH7)"	0	1	1	NA	COG1937	GC_00000856	1	1	61	26
Glutamine amidotransferase related to the GATase domain of CobQ (PDB:5N9M)	0	1	1	NA	COG3442	GC_00000941	1	1	61	26
Ribosomal protein S9 (RpsI) (PDB:4V4H)	0	1	1	NA	COG0103	GC_00000265	1	1	61	26
"Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)"	0	1	1	NA	COG0535	"GC_00000509, GC_00001548"	1	1	61	26
Histidinol dehydrogenase (HisD) (PDB:1K75)	0	1	1	NA	COG0141	GC_00001203	1	1	61	26
"5,10-methenyltetrahydromethanopterin hydrogenase (Mth) (PDB:2B0J)"	0	1	1	NA	COG4074	GC_00000120	1	1	61	26
Ribosomal protein S8 (RpsH) (PDB:4V4H)	0	1	1	NA	COG0096	GC_00000229	1	1	61	26
"Uncharacterized protein, contains PhoU and TrkA_C domains (PDB:1VCT)"	0	1	1	NA	COG3273	GC_00000318	1	1	61	26
"Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)!!!Uncharacterized conserved protein"	0	1	1	NA	COG0535!!!COG4001	"GC_00001407, GC_00002385"	1	1	61	26
"CRISPR/Cas system-associated exonuclease Cas4, RecB family (Cas4) (PDB:4R5Q)"	0	1	1	NA	COG1468	"GC_00001202, GC_00001748, GC_00001927"	1	1	61	26
Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	0	1	1	NA	COG0697	GC_00001094	1	1	61	26
Archaeal/vacuolar-type H+-ATPase subunit E/Vma4 (NtpE) (PDB:2DM9)	0	1	1	NA	COG1390	GC_00000469	1	1	61	26
"ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation (RecJ) (PDB:1IR6)"	0	1	1	NA	COG0608	"GC_00000180, GC_00000191"	1	1	61	26
ATP phosphoribosyltransferase (HisG) (PDB:1H3D)	0	1	1	NA	COG0040	GC_00000881	1	1	61	26
"Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)"	0	1	1	NA	COG0569	GC_00000766	1	1	61	26
"rRNA maturation protein Nop10, contains Zn-ribbon domain (Nop10) (PDB:1Y2Y)"	0	1	1	NA	COG2260	GC_00000501	1	1	61	26
NMD protein affecting ribosome stability and mRNA decay (NMD3)	0	1	1	NA	COG1499	GC_00001366	1	1	61	26
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	0	1	1	NA	COG0505	GC_00001204	1	1	61	26
4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase (DapA) (PDB:2R91) (PUBMED:27574185)	0	1	1	NA	COG0329	GC_00000965	1	1	61	26
tRNA(His) 5'-end guanylyltransferase (Thg1) (PDB:3OTB)	0	1	1	NA	COG4021	GC_00000177	1	1	61	26
"Ferredoxin (NapF) (PDB:6FAH)!!!Uncharacterized 2Fe-2S and 4Fe-4S clusters-containing protein, contains DUF4445 domain (PDB:4C1N)"	0	1	1	NA	COG1145!!!COG3894	GC_00001373	1	1	61	26
Uncharacterized membrane protein (PDB:1EUT)	0	1	1	NA	COG1470	GC_00000090	1	1	61	26
"Mevalonate 5-phosphate dehydratase subunit 1, aconitase superfamily (modified mevalonate pathway) (AcnX1) (PUBMED:30224495)"	0	1	1	NA	COG1679	GC_00000888	1	1	61	26
"DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)"	0	1	1	NA	COG0086	"GC_00000073, GC_00000444"	1	1	61	26
Ribosomal protein S24E (RPS24A) (PDB:1XN9)	0	1	1	NA	COG2004	GC_00000479	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit D (MtrD)"	0	1	1	NA	COG4060	GC_00000827	1	1	61	26
"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase MptE (tetrahydrofolate and tetrahydromethanopterin biosynthesis) (FolK) (PUBMED:22931285)"	0	1	1	NA	COG1634	GC_00001064	1	1	61	26
"Mn-dependent transcriptional regulator MntR, DtxR family (MntR) (PDB:1B1B)!!!Fe2+ transport protein FeoA (FeoA) (PDB:2GCX)"	0	1	1	NA	COG1321!!!COG1918	GC_00000694	1	1	61	26
Isoleucyl-tRNA synthetase (IleS) (PDB:1FFY)	0	1	1	NA	COG0060	GC_00001374	1	1	61	26
Flavodoxin (FldA) (PDB:1AG9)	0	1	1	NA	COG0716	"GC_00000626, GC_00000758, GC_00000808, GC_00001823"	1	1	61	26
Uncharacterized conserved protein MJ0498	0	1	1	NA	COG4029	GC_00000460	1	1	61	26
Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	0	1	1	NA	COG0119	"GC_00000458, GC_00000831, GC_00001041"	1	1	61	26
"Ligand-binding C-terminal domain of pyruvate kinase, DUF1867 (PK) (PDB:1T57) (PUBMED:32095817)"	0	1	1	NA	COG1751	GC_00001020	1	1	61	26
"L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)"	0	1	1	NA	COG1139	GC_00001112	1	1	61	26
Selenophosphate synthetase-related protein	0	1	1	NA	COG2144	GC_00000577	1	1	61	26
Ribosomal protein L15E (RPL15A)	0	1	1	NA	COG1632	GC_00000283	1	1	61	26
