KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
"probable poly-beta-1,6-N-acetyl-D-glucosamine export protein"	0	1	1	NA	K21462	"GC_00001156, GC_00001773, GC_00002083"	1	1	26	61
"methyl coenzyme M reductase system, component A2"	0	1	1	NA	K00400	"GC_00000153, GC_00000543"	1	1	26	61
pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	0	1	1	NA	K00170	GC_00000364	1	1	26	61
translation initiation factor 2 subunit 3	0	1	1	NA	K03242	GC_00000275	1	1	26	61
RIO kinase 1 [EC:2.7.11.1]	0	1	1	NA	K07178	GC_00000442	1	1	26	61
bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]	0	1	1	NA	K13812	GC_00000853	1	1	26	61
3-dehydroquinate synthase II [EC:1.4.1.24]	0	1	1	NA	K11646	GC_00000708	1	1	26	61
2-dehydropantoate 2-reductase [EC:1.1.1.169]	0	1	1	NA	K00077	GC_00001278	1	1	26	61
KEOPS complex subunit Pcc1	0	1	1	NA	K09741	GC_00000381	1	1	26	61
5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]	0	1	1	NA	K06863	GC_00000912	1	1	26	61
large subunit ribosomal protein L10e	0	1	1	NA	K02866	GC_00000262	1	1	26	61
energy-converting hydrogenase A subunit C	0	1	1	NA	K14094	GC_00000321	1	1	26	61
P-type Cu+ transporter [EC:7.2.2.8]	0	1	1	NA	K17686	GC_00000019	1	1	26	61
"adenylate cyclase, class 2 [EC:4.6.1.1]"	0	1	1	NA	K05873	GC_00000773	1	1	26	61
thymidylate synthase [EC:2.1.1.45]	0	1	1	NA	K00560	"GC_00000078, GC_00002362"	1	1	26	61
formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	0	1	1	NA	K00672	"GC_00000420, GC_00000983"	1	1	26	61
phosphate transport system protein	0	1	1	NA	K02039	"GC_00000806, GC_00001342"	1	1	26	61
methyl-coenzyme M reductase subunit D	0	1	1	NA	K03422	"GC_00000269, GC_00002972"	1	1	26	61
polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	0	1	1	NA	K02028	GC_00000953	1	1	26	61
"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"	0	1	1	NA	K00179	GC_00001219	1	1	26	61
phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0	1	1	NA	K01933	GC_00001134	1	1	26	61
anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	0	1	1	NA	K04034	GC_00000112	1	1	26	61
"UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]"	0	1	1	NA	K15895	GC_00001228	1	1	26	61
"2,5-furandicarboxylate decarboxylase 1"	0	1	1	NA	K16874	GC_00001168	1	1	26	61
"3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	0	1	1	NA	K07053	"GC_00000490, GC_00001062"	1	1	26	61
adenine/guanine/hypoxanthine permease	0	1	1	NA	K06901	GC_00000890	1	1	26	61
putative ABC transport system ATP-binding protein	0	1	1	NA	K02003	GC_00000618	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	0	1	1	NA	K00584	GC_00000008	1	1	26	61
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	0	1	1	NA	K01951	"GC_00000555, GC_00000871"	1	1	26	61
prefoldin beta subunit	0	1	1	NA	K04798	GC_00000226	1	1	26	61
7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	0	1	1	NA	K06920	"GC_00001248, GC_00003946"	1	1	26	61
formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	0	1	1	NA	K00125	"GC_00000633, GC_00001756"	1	1	26	61
methyltransferase [EC:2.1.1.-]	0	1	1	NA	K09142	GC_00000635	1	1	26	61
energy-converting hydrogenase B subunit F	0	1	1	NA	K14115	GC_00001060	1	1	26	61
small subunit ribosomal protein S28e	0	1	1	NA	K02979	GC_00000235	1	1	26	61
glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]	0	1	1	NA	K03330	GC_00001128	1	1	26	61
menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	0	1	1	NA	K00230	"GC_00000943, GC_00003567"	1	1	26	61
coenzyme F430 synthetase [EC:6.4.1.9]	0	1	1	NA	K21612	GC_00001135	1	1	26	61
archaeal chaperonin	0	1	1	NA	K22447	"GC_00000352, GC_00000353"	1	1	26	61
energy-converting hydrogenase B subunit Q	0	1	1	NA	K06862	GC_00000565	1	1	26	61
biotin transport system substrate-specific component	0	1	1	NA	K03523	GC_00001045	1	1	26	61
"GTP 3',8-cyclase [EC:4.1.99.22]"	0	1	1	NA	K03639	GC_00001206	1	1	26	61
transcriptional regulator	0	1	1	NA	K07744	GC_00000582	1	1	26	61
phosphate transport system substrate-binding protein	0	1	1	NA	K02040	GC_00000695	1	1	26	61
cysteine desulfurase [EC:2.8.1.7]	0	1	1	NA	K04487	GC_00001270	1	1	26	61
small subunit ribosomal protein S2	0	1	1	NA	K02967	GC_00000324	1	1	26	61
glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	0	1	1	NA	K00620	GC_00000872	1	1	26	61
small subunit ribosomal protein S8e	0	1	1	NA	K02995	GC_00000258	1	1	26	61
ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]	0	1	1	NA	K03537	GC_00000572	1	1	26	61
excinuclease ABC subunit C	0	1	1	NA	K03703	GC_00000155	1	1	26	61
succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	0	1	1	NA	K01902	GC_00000788	1	1	26	61
adenine deaminase [EC:3.5.4.2]	0	1	1	NA	K01486	GC_00001329	1	1	26	61
dolichol-phosphate hexosyltransferase [EC:2.4.1.-]	0	1	1	NA	K23684	"GC_00000102, GC_00000939"	1	1	26	61
AAA family ATPase	0	1	1	NA	K07392	GC_00000820	1	1	26	61
UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276]	0	1	1	NA	K23144	GC_00001158	1	1	26	61
large subunit ribosomal protein L18	0	1	1	NA	K02881	GC_00000630	1	1	26	61
"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]"	0	1	1	NA	K14654	GC_00000768	1	1	26	61
acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	0	1	1	NA	K01652	"GC_00000818, GC_00001419, GC_00003761"	1	1	26	61
hydroxyethylthiazole kinase [EC:2.7.1.50]	0	1	1	NA	K00878	GC_00001290	1	1	26	61
pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	0	1	1	NA	K08681	GC_00000879	1	1	26	61
arginine decarboxylase [EC:4.1.1.19]	0	1	1	NA	K02626	GC_00000980	1	1	26	61
carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0	1	1	NA	K01955	GC_00000829	1	1	26	61
tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]	0	1	1	NA	K22900	GC_00001050	1	1	26	61
ferritin [EC:1.16.3.2]	0	1	1	NA	K02217	GC_00000552	1	1	26	61
putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]	0	1	1	NA	K13684	GC_00000210	1	1	26	61
tRNA pseudouridine13 synthase [EC:5.4.99.27]	0	1	1	NA	K06176	GC_00001138	1	1	26	61
valyl-tRNA synthetase [EC:6.1.1.9]	0	1	1	NA	K01873	GC_00001244	1	1	26	61
ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]	0	1	1	NA	K05521	GC_00000110	1	1	26	61
"pyruvate, water dikinase [EC:2.7.9.2]"	0	1	1	NA	K01007	GC_00001152	1	1	26	61
methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]	0	1	1	NA	K10977	GC_00000831	1	1	26	61
endonuclease III related protein	0	1	1	NA	K07457	GC_00001053	1	1	26	61
translation initiation factor 1	0	1	1	NA	K03113	GC_00000219	1	1	26	61
DNA repair protein SbcC/Rad50	0	1	1	NA	K03546	GC_00000165	1	1	26	61
CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	0	1	1	NA	K07464	"GC_00000184, GC_00001202, GC_00001748, GC_00001927"	1	1	26	61
diamine N-acetyltransferase [EC:2.3.1.57]	0	1	1	NA	K22441	GC_00001226	1	1	26	61
"Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"	0	1	1	NA	K03718	GC_00000371	1	1	26	61
arsenite transporter	0	1	1	NA	K03325	GC_00000057	1	1	26	61
signal recognition particle subunit SRP19	0	1	1	NA	K03105	GC_00000705	1	1	26	61
dihydroorotate dehydrogenase electron transfer subunit	0	1	1	NA	K02823	GC_00000851	1	1	26	61
"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"	0	1	1	NA	K13018	GC_00000550	1	1	26	61
polar amino acid transport system permease protein	0	1	1	NA	K02029	GC_00000125	1	1	26	61
"DNA polymerase, archaea type [EC:2.7.7.7]"	0	1	1	NA	K02319	GC_00001191	1	1	26	61
archaeosine synthase beta-subunit [EC:2.6.1.-]	0	1	1	NA	K06936	GC_00001371	1	1	26	61
deoxyribose-phosphate aldolase [EC:4.1.2.4]	0	1	1	NA	K01619	"GC_00000883, GC_00003342"	1	1	26	61
energy-converting hydrogenase A subunit G	0	1	1	NA	K14098	GC_00000418	1	1	26	61
IMP dehydrogenase [EC:1.1.1.205]	0	1	1	NA	K00088	GC_00000934	1	1	26	61
chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	0	1	1	NA	K19271	GC_00000099	1	1	26	61
precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	0	1	1	NA	K02304	GC_00001043	1	1	26	61
methionyl-tRNA synthetase [EC:6.1.1.10]	0	1	1	NA	K01874	GC_00001144	1	1	26	61
sortase A [EC:3.4.22.70]	0	1	1	NA	K07284	GC_00000812	1	1	26	61
signal peptidase I [EC:3.4.21.89]	0	1	1	NA	K13280	GC_00000643	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit K	0	1	1	NA	K02124	GC_00000280	1	1	26	61
"Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]"	0	1	1	NA	K21611	GC_00001303	1	1	26	61
L-malate glycosyltransferase [EC:2.4.1.-]	0	1	1	NA	K00754	GC_00001418	1	1	26	61
energy-converting hydrogenase A subunit M	0	1	1	NA	K14104	GC_00000464	1	1	26	61
23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	0	1	1	NA	K02427	GC_00000567	1	1	26	61
methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]	0	1	1	NA	K22081	GC_00000334	1	1	26	61
ribose 5-phosphate isomerase A [EC:5.3.1.6]	0	1	1	NA	K01807	GC_00000725	1	1	26	61
precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]	0	1	1	NA	K03394	GC_00000726	1	1	26	61
large subunit ribosomal protein L3	0	1	1	NA	K02906	GC_00000439	1	1	26	61
7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	0	1	1	NA	K10026	GC_00000848	1	1	26	61
anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	0	1	1	NA	K00196	GC_00000123	1	1	26	61
energy-converting hydrogenase B subunit D	0	1	1	NA	K14113	GC_00000257	1	1	26	61
tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]	0	1	1	NA	K14415	GC_00001063	1	1	26	61
tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	0	1	1	NA	K15429	GC_00000876	1	1	26	61
cysteinyl-tRNA synthetase [EC:6.1.1.16]	0	1	1	NA	K01883	GC_00000787	1	1	26	61
3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	0	1	1	NA	K00800	GC_00001357	1	1	26	61
4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0	1	1	NA	K00215	GC_00000416	1	1	26	61
tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]	0	1	1	NA	K07055	GC_00001096	1	1	26	61
methyl-coenzyme M reductase subunit C	0	1	1	NA	K03421	GC_00000279	1	1	26	61
tryptophan synthase beta chain [EC:4.2.1.20]	0	1	1	NA	K01696	"GC_00000065, GC_00000862"	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	0	1	1	NA	K00580	GC_00000827	1	1	26	61
cysteine synthase [EC:2.5.1.47]	0	1	1	NA	K01738	GC_00000493	1	1	26	61
digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]	0	1	1	NA	K17830	GC_00000140	1	1	26	61
malate permease and related proteins	0	1	1	NA	K24180	GC_00000715	1	1	26	61
hydroxylamine reductase [EC:1.7.99.1]	0	1	1	NA	K05601	GC_00000854	1	1	26	61
(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]	0	1	1	NA	K07072	GC_00000194	1	1	26	61
replication factor C large subunit	0	1	1	NA	K04800	GC_00001382	1	1	26	61
cobalt/nickel transport system ATP-binding protein	0	1	1	NA	K02006	"GC_00001031, GC_00001032"	1	1	26	61
chorismate synthase [EC:4.2.3.5]	0	1	1	NA	K01736	GC_00001301	1	1	26	61
acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	0	1	1	NA	K00626	GC_00000436	1	1	26	61
2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0	1	1	NA	K00177	GC_00000508	1	1	26	61
rubrerythrin	0	1	1	NA	K19824	"GC_00000301, GC_00000645"	1	1	26	61
2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase [EC:3.5.1.102]	0	1	1	NA	K14653	GC_00000602	1	1	26	61
fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]	0	1	1	NA	K18209	GC_00001054	1	1	26	61
H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]	0	1	1	NA	K11131	GC_00000804	1	1	26	61
imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	0	1	1	NA	K02500	GC_00000580	1	1	26	61
nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	0	1	1	NA	K00767	GC_00000950	1	1	26	61
exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	0	1	1	NA	K03602	GC_00000320	1	1	26	61
"ATP-binding cassette, sub-family E, member 1"	0	1	1	NA	K06174	GC_00000981	1	1	26	61
L-aspartate semialdehyde sulfurtransferase ferredoxin	0	1	1	NA	K23976	GC_00000729	1	1	26	61
cation:H+ antiporter	0	1	1	NA	K07301	GC_00001161	1	1	26	61
glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	0	1	1	NA	K00820	"GC_00000816, GC_00001367"	1	1	26	61
hydrogenase 3 maturation protease [EC:3.4.23.51]	0	1	1	NA	K08315	GC_00001222	1	1	26	61
small subunit ribosomal protein S19	0	1	1	NA	K02965	GC_00000256	1	1	26	61
large subunit ribosomal protein L24	0	1	1	NA	K02895	GC_00000302	1	1	26	61
"adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	0	1	1	NA	K00395	GC_00000271	1	1	26	61
"DNA-directed RNA polymerase subunit A"""" [EC:2.7.7.6]"	0	1	1	NA	K03042	GC_00000444	1	1	26	61
release factor glutamine methyltransferase [EC:2.1.1.297]	0	1	1	NA	K19589	GC_00000557	1	1	26	61
energy-converting hydrogenase B subunit K	0	1	1	NA	K14120	"GC_00000023, GC_00001262"	1	1	26	61
bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]	0	1	1	NA	K15904	GC_00001333	1	1	26	61
DNA helicase IV [EC:3.6.4.12]	0	1	1	NA	K03658	"GC_00000022, GC_00001512, GC_00001683, GC_00002438, GC_00002844"	1	1	26	61
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	0	1	1	NA	K00175	GC_00000807	1	1	26	61
(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]	0	1	1	NA	K09733	GC_00000347	1	1	26	61
UDP-glucose 4-epimerase [EC:5.1.3.2]	0	1	1	NA	K01784	GC_00000161	1	1	26	61
"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"	0	1	1	NA	K01845	GC_00001190	1	1	26	61
DNA topoisomerase VI subunit B [EC:5.6.2.2]	0	1	1	NA	K03167	GC_00000152	1	1	26	61
ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	0	1	1	NA	K03724	"GC_00001147, GC_00003175"	1	1	26	61
glycyl-tRNA synthetase [EC:6.1.1.14]	0	1	1	NA	K01880	GC_00001195	1	1	26	61
nonsense-mediated mRNA decay protein 3	0	1	1	NA	K07562	GC_00001366	1	1	26	61
Zn-ribbon RNA-binding protein	0	1	1	NA	K07580	GC_00000291	1	1	26	61
methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	0	1	1	NA	K04480	GC_00000108	1	1	26	61
thiamine-monophosphate kinase [EC:2.7.4.16]	0	1	1	NA	K00946	GC_00000886	1	1	26	61
"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]"	0	1	1	NA	K15897	"GC_00000777, GC_00001339"	1	1	26	61
sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]	0	1	1	NA	K13039	GC_00001056	1	1	26	61
5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	0	1	1	NA	K01588	GC_00000732	1	1	26	61
large subunit ribosomal protein L7Ae	0	1	1	NA	K02936	GC_00000315	1	1	26	61
protein pelota	0	1	1	NA	K06965	GC_00000949	1	1	26	61
hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0	1	1	NA	K00021	GC_00001266	1	1	26	61
"solute:Na+ symporter, SSS family"	0	1	1	NA	K03307	GC_00000146	1	1	26	61
(R)-citramalate synthase [EC:2.3.1.182]	0	1	1	NA	K09011	GC_00001041	1	1	26	61
2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]	0	1	1	NA	K00186	GC_00000382	1	1	26	61
ribonuclease HII [EC:3.1.26.4]	0	1	1	NA	K03470	GC_00000608	1	1	26	61
large repetitive protein	0	1	1	NA	K20276	"GC_00000003, GC_00000062, GC_00002560"	1	1	26	61
single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	0	1	1	NA	K07462	"GC_00000180, GC_00000191"	1	1	26	61
glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0	1	1	NA	K00096	GC_00000767	1	1	26	61
nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]	0	1	1	NA	K00952	GC_00000662	1	1	26	61
Fe-S cluster assembly ATP-binding protein	0	1	1	NA	K09013	GC_00000955	1	1	26	61
archaeal flagellar protein FlaJ	0	1	1	NA	K07333	"GC_00000068, GC_00001361"	1	1	26	61
2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]	0	1	1	NA	K00187	GC_00001051	1	1	26	61
putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase	0	1	1	NA	K03606	GC_00001014	1	1	26	61
energy-converting hydrogenase B subunit J	0	1	1	NA	K14119	GC_00000680	1	1	26	61
pilus assembly protein Flp/PilA	0	1	1	NA	K02651	GC_00000397	1	1	26	61
dihydroorotase [EC:3.5.2.3]	0	1	1	NA	K01465	GC_00001296	1	1	26	61
methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]	0	1	1	NA	K22082	GC_00000137	1	1	26	61
Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	0	1	1	NA	K01534	GC_00001397	1	1	26	61
replication factor A1	0	1	1	NA	K07466	GC_00001384	1	1	26	61
translation initiation factor 2 subunit 2	0	1	1	NA	K03238	GC_00000221	1	1	26	61
vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]	0	1	1	NA	K21759	GC_00000507	1	1	26	61
nitrogen fixation protein NifB	0	1	1	NA	K02585	GC_00000509	1	1	26	61
small subunit ribosomal protein S4	0	1	1	NA	K02986	GC_00000322	1	1	26	61
"type I restriction enzyme, R subunit [EC:3.1.21.3]"	0	1	1	NA	K01153	"GC_00000056, GC_00001679, GC_00001833, GC_00002132, GC_00002259"	1	1	26	61
IMP cyclohydrolase [EC:3.5.4.10]	0	1	1	NA	K11176	GC_00000377	1	1	26	61
DNA primase large subunit	0	1	1	NA	K18882	GC_00001257	1	1	26	61
aspartate kinase [EC:2.7.2.4]	0	1	1	NA	K00928	GC_00000122	1	1	26	61
ribosome maturation protein SDO1	0	1	1	NA	K14574	GC_00000597	1	1	26	61
methanogen homoaconitase large subunit [EC:4.2.1.114]	0	1	1	NA	K16792	GC_00001069	1	1	26	61
H/ACA ribonucleoprotein complex subunit 3	0	1	1	NA	K11130	GC_00000501	1	1	26	61
methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	0	1	1	NA	K00402	GC_00000097	1	1	26	61
uridylate kinase [EC:2.7.4.22]	0	1	1	NA	K09903	GC_00000309	1	1	26	61
small subunit ribosomal protein S4e	0	1	1	NA	K02987	GC_00000535	1	1	26	61
8-oxo-dGTP diphosphatase [EC:3.6.1.55]	0	1	1	NA	K03574	"GC_00000151, GC_00000984, GC_00001536"	1	1	26	61
cytochrome c-type biogenesis protein	0	1	1	NA	K06196	GC_00001113	1	1	26	61
ferrous iron transport protein A	0	1	1	NA	K04758	GC_00000222	1	1	26	61
DNA polymerase II large subunit [EC:2.7.7.7]	0	1	1	NA	K02322	GC_00001347	1	1	26	61
beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]	0	1	1	NA	K06984	GC_00000976	1	1	26	61
thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	0	1	1	NA	K00788	GC_00001082	1	1	26	61
aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	0	1	1	NA	K02433	GC_00001038	1	1	26	61
lactoylglutathione lyase [EC:4.4.1.5]	0	1	1	NA	K01759	GC_00000080	1	1	26	61
"pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]"	0	1	1	NA	K06864	GC_00001369	1	1	26	61
DNA replication factor GINS	0	1	1	NA	K09723	GC_00001066	1	1	26	61
2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]	0	1	1	NA	K14941	GC_00000461	1	1	26	61
archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	0	1	1	NA	K07991	GC_00001185	1	1	26	61
"XRE family transcriptional regulator, regulator of sulfur utilization"	0	1	1	NA	K23779	GC_00000466	1	1	26	61
methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	0	1	1	NA	K01499	GC_00000387	1	1	26	61
hydrogenase nickel incorporation protein HypB	0	1	1	NA	K04652	GC_00000593	1	1	26	61
"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"	0	1	1	NA	K01622	GC_00000887	1	1	26	61
ATPase	0	1	1	NA	K06865	GC_00000204	1	1	26	61
transcription termination/antitermination protein NusA	0	1	1	NA	K02600	GC_00000263	1	1	26	61
arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	0	1	1	NA	K01551	GC_00000409	1	1	26	61
N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	0	1	1	NA	K03660	GC_00001154	1	1	26	61
O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	1	1	NA	K01740	"GC_00000753, GC_00000754"	1	1	26	61
biopolymer transport protein ExbD	0	1	1	NA	K03559	"GC_00000308, GC_00003762"	1	1	26	61
arginyl-tRNA synthetase [EC:6.1.1.19]	0	1	1	NA	K01887	GC_00001120	1	1	26	61
"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"	0	1	1	NA	K16306	GC_00000343	1	1	26	61
4-oxalocrotonate tautomerase [EC:5.3.2.6]	0	1	1	NA	K01821	GC_00000554	1	1	26	61
isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	0	1	1	NA	K01823	GC_00000803	1	1	26	61
CMP/dCMP kinase [EC:2.7.4.25]	0	1	1	NA	K00945	GC_00000735	1	1	26	61
tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206]	0	1	1	NA	K07254	GC_00000700	1	1	26	61
polar amino acid transport system substrate-binding protein	0	1	1	NA	K02030	GC_00000532	1	1	26	61
"ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor"	0	1	1	NA	K21903	GC_00000410	1	1	26	61
archaea-specific helicase [EC:3.6.4.-]	0	1	1	NA	K03725	GC_00001360	1	1	26	61
proteasome beta subunit [EC:3.4.25.1]	0	1	1	NA	K03433	GC_00000929	1	1	26	61
NAD-dependent deacetylase [EC:2.3.1.286]	0	1	1	NA	K12410	GC_00000069	1	1	26	61
putative ABC transport system permease protein	0	1	1	NA	K02004	"GC_00001415, GC_00003380, GC_00003720"	1	1	26	61
pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	0	1	1	NA	K00172	GC_00000362	1	1	26	61
cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	0	1	1	NA	K02188	GC_00001246	1	1	26	61
[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]	0	1	1	NA	K14080	GC_00001103	1	1	26	61
peptide/nickel transport system permease protein	0	1	1	NA	K02033	"GC_00000169, GC_00001029, GC_00003471"	1	1	26	61
[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	0	1	1	NA	K03789	GC_00000513	1	1	26	61
ferrous-iron efflux pump FieF	0	1	1	NA	K13283	"GC_00000857, GC_00003717"	1	1	26	61
small subunit ribosomal protein S17	0	1	1	NA	K02961	GC_00000215	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit F	0	1	1	NA	K02122	GC_00000273	1	1	26	61
cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]	0	1	1	NA	K03399	GC_00000668	1	1	26	61
mevalonate kinase [EC:2.7.1.36]	0	1	1	NA	K00869	GC_00000811	1	1	26	61
acetoin utilization protein AcuB	0	1	1	NA	K04767	GC_00000846	1	1	26	61
lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]	0	1	1	NA	K07271	"GC_00000082, GC_00000891, GC_00001508, GC_00002451, GC_00002610, GC_00002759"	1	1	26	61
small subunit ribosomal protein S6e	0	1	1	NA	K02991	GC_00000413	1	1	26	61
polyphosphate kinase [EC:2.7.4.1]	0	1	1	NA	K00937	GC_00000207	1	1	26	61
archaea-specific RecJ-like exonuclease	0	1	1	NA	K07463	GC_00001116	1	1	26	61
